Id,Name,Target,L1,L2,L3,L4,L5,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5
42498,"Submarine",4,90,65,55,40,10,0,0,-15,-25,10,5,30,25,5,-20
43112,"Amanda 2001",4,30,70,95,40,55,0,0,0,60,75,0,0,0,35,40
43253,"HD-DVD",4,40,45,65,60,90,20,30,70,-45,-80,-25,-60,-35,15,85
43564,"Jolly Green Giant",4,90,70,45,45,15,-75,-60,-40,-45,-20,85,70,50,50,25
43688,"bleached",4,65,75,40,80,30,25,-10,-10,-20,10,40,0,-5,-5,15
44419,"Midnight Pomegranate",4,5,25,100,35,10,5,5,5,50,25,5,5,5,15,0
44524,"InteriorColor",4,5,25,5,30,0,15,45,10,5,0,0,25,5,5,0
44562,"Cut",4,40,55,80,100,95,60,85,5,-10,-5,55,70,60,60,70
45218,"Duck Egg",4,85,55,90,65,100,15,20,-20,-20,-10,20,25,0,0,0
45265,"Dark Side",4,35,25,25,35,0,0,0,0,5,0,0,0,5,5,0
45275,"Norweigen Fjord",4,60,25,40,40,55,0,30,35,-15,0,-15,5,15,20,-20
45277,"New Zealand Beach",4,80,70,100,70,45,-10,-5,0,-5,5,55,50,15,-10,-35
45392,"flip flops + summer",4,55,65,60,60,85,80,50,60,10,-30,35,70,20,-55,75
45402,"carnivale v2",4,70,30,55,75,55,-45,55,65,-15,85,10,0,65,75,40
45588,"Starsky",4,80,65,90,80,20,0,-5,0,5,0,-5,-10,5,5,0
45620,"Pink+Grey Cement",4,45,75,100,95,90,70,-5,0,0,0,15,5,5,5,5
45622,"C R Mackintosh",4,35,45,85,85,75,-20,50,0,10,-10,40,-15,20,20,30
45631,"lithuanian village",4,60,90,80,35,60,45,5,5,20,-20,70,10,25,45,60
45932,"green plants",4,50,75,60,75,30,-20,-25,-20,-35,-15,55,65,50,75,35
46183,"snack mix",4,90,85,55,25,20,5,15,20,5,35,45,60,50,20,20
46443,"Orchids",4,40,80,30,55,70,-15,5,55,50,25,30,40,-5,-5,-5
46577,"eo dining room",4,90,45,25,40,100,0,5,15,60,5,0,0,10,40,15
48166,"kuler",4,25,10,5,55,80,0,0,0,75,-10,0,5,0,55,-20
48410,"bath",4,85,100,85,95,15,-15,0,0,0,0,15,15,25,35,0
48601,"Fairmount",4,85,45,70,25,45,-30,-15,-5,35,45,-15,-10,40,-5,-5
48602,"Simple",4,65,100,60,15,5,5,0,5,5,5,-55,5,0,0,5
48609,"Rain Forest Sky",4,65,55,35,55,90,-25,-10,-10,-20,-30,55,25,-5,-15,0
48630,"sunshower",4,70,35,85,95,25,-65,20,-30,-50,-25,65,25,40,90,20
48714,"Pink grapefruit",4,60,65,95,85,75,80,60,-5,15,35,40,40,50,60,70
48795,"How far away",4.3333,60,65,90,70,65,-5,-15,10,10,5,0,-5,15,15,5
48985,"coffee cup",4,45,25,25,55,90,-40,0,5,5,0,30,10,20,35,15
49035,"Sage and Plum",4,60,30,70,40,100,25,30,-20,-15,-15,-10,-10,15,15,15
49173,"Algae and coral CMYK",4,50,65,90,70,60,70,65,-70,-25,-15,-5,35,35,-20,-10
49227,"Pur",4.5,95,90,70,30,10,10,15,40,45,15,5,20,45,10,5
49248,"Buffalo Sabres",4,0,20,60,80,100,0,0,0,25,0,0,-20,5,75,5
49358,"Tech1",4,30,55,100,75,40,50,10,0,0,0,35,-30,5,10,5
49550,"blade runner night",4.5,15,20,10,15,5,0,5,10,5,5,-5,-5,-10,-5,5
49553,"deep mauve",4.5,10,20,5,35,25,20,20,25,10,0,-10,0,10,0,10
49703,"Vacations",4,75,90,75,35,80,-25,-5,-15,0,10,5,35,65,20,80
50321,"Night Cream",4,35,45,50,65,75,50,25,20,5,0,30,25,35,20,10
50496,"I'm an activist",4,70,100,95,85,65,-5,0,-10,-25,-20,-45,5,30,50,40
51033,"Yummy",4,70,85,65,20,90,25,25,60,30,15,20,5,10,30,30
51049,"Hardcore girl",4,25,60,65,45,0,-5,-10,50,70,0,20,45,-15,0,0
51144,"Ueba Blog",4,100,85,65,55,25,0,5,-10,-15,-5,5,90,65,50,30
51492,"Greedy Girl",4,45,85,100,65,45,45,30,0,-15,5,25,10,20,-25,-30
51504,"On the Hill",4,40,95,100,100,75,5,-5,-10,-25,-40,20,30,25,45,45
51906,"kimono",4,55,80,60,40,20,75,25,15,10,5,15,10,-5,-5,5
52026,"topcat 2",4,65,55,85,25,55,5,5,0,0,0,15,10,0,0,-5
52108,"bentoBox",4,60,75,65,80,95,-15,-55,0,-30,-30,-35,75,-30,50,45
52116,"Norman Rockwell",4.3333,90,70,20,15,35,-5,-5,20,0,15,20,20,10,0,25
52430,"Glorioso Tricolor Paulista",4,55,55,100,0,0,85,85,5,0,0,70,70,0,0,0
52660,"nerone",4,100,80,50,50,50,-5,0,0,0,60,25,-5,10,-5,40
52954,"Lipstick",4,90,80,70,45,15,20,45,65,60,35,0,-5,-10,-5,0
53121,"HSB nature10",4,95,75,50,30,55,-35,-25,-5,0,5,85,60,25,0,-30
53418,"DeadRising",4.5,35,65,90,70,70,20,-5,5,0,10,15,45,-10,20,5
53425,"Explosive",4,30,25,35,25,65,-10,45,50,30,50,-10,35,50,35,75
53797,"Vienna 1900",4,100,20,15,25,95,-10,40,25,10,0,50,0,20,25,35
53818,"oranges",4.5,30,65,25,50,100,35,60,5,0,0,40,75,0,0,5
54286,"Mountain Autum",5,60,25,90,55,70,70,15,10,40,25,65,35,40,50,75
54324,"campfire",4,60,10,95,45,65,10,5,5,40,45,45,10,40,50,70
54509,"Urban Teen Polo",4,45,95,75,65,15,25,5,0,20,5,35,0,35,40,-15
54586,"Van Gogh's Starry Night",5,45,30,85,60,85,55,50,15,10,10,-90,-70,85,65,80
54686,"Lakeside Picnic",4,75,100,95,75,45,35,-25,-55,-10,30,80,80,80,-40,-65
54810,"sandy-cool",4,20,50,95,65,90,0,5,0,0,-5,5,25,20,25,30
55023,"Sorbet Summers",4.5,90,80,60,100,90,-25,10,85,0,-25,-15,55,10,5,65
55026,"Japan Pop",4,70,50,95,65,60,-60,75,-10,65,25,60,10,95,60,-65
55333,"Belem 2",4,75,55,75,80,50,0,15,10,-5,65,-5,-15,25,40,35
55351,"June",4,65,85,90,80,55,-15,10,-65,-10,-40,-30,85,80,75,20
55441,"painting",4,20,40,60,75,80,35,55,20,10,10,20,30,35,15,5
55549,"The Go-Go's:  Vacation",4,70,50,95,65,60,45,55,-10,60,-35,65,-25,75,20,25
55552,"Shag:  After Dark",4.5,40,50,80,85,30,35,25,-25,-5,15,-30,-20,80,-20,-40
55565,"Steel",4,85,75,65,40,30,0,0,5,5,0,-5,-15,-35,-35,-15
55624,"Slate",4,45,80,15,100,45,0,-5,0,5,0,-5,0,-5,-5,0
56021,"Soft Autumn",4.5,65,80,85,75,70,15,0,15,15,10,25,20,30,45,10
56031,"Gelato",4,90,70,45,25,25,10,30,35,25,45,50,65,45,30,35
56311,"topo one",5,25,50,60,15,90,5,10,70,5,-50,35,55,70,10,60
56619,"fresh mint",4.5,95,85,95,95,85,-45,-70,-55,-40,-45,55,70,35,0,20
57244,"lollipop",5,100,100,55,65,15,-20,-25,80,55,10,55,70,50,55,10
57281,"Hemmingway",4,65,80,100,95,90,60,15,5,-10,-30,45,30,5,40,0
57322,"Sunny Day At The Beach",4,95,100,80,55,95,-5,0,-35,35,-10,40,5,-10,-70,90
57464,"Wedding Daze",4,100,70,90,60,95,-20,-30,20,25,10,15,20,10,10,5
57465,"Government",4,65,85,100,55,30,25,5,0,0,15,65,15,5,0,-35
57570,"Unisex",5,100,45,90,30,85,0,0,15,5,5,15,10,5,-5,-20
57580,"Bonita Slim",4,45,65,100,15,65,50,50,5,30,30,50,50,10,25,5
57605,"Carnival 1880",4,90,65,50,35,25,15,40,40,20,-5,25,10,-40,-40,-10
57946,"Yellow Fellow",4,95,55,90,40,75,5,5,0,15,10,15,10,90,50,25
57956,"Field of Dreams",4,5,55,85,20,10,-5,-30,-20,35,30,10,45,30,-20,-30
57957,"Legs to Heaven",4,55,75,65,55,35,35,20,25,25,30,25,30,25,25,30
58728,"vintage market",4,65,65,80,35,55,-25,20,-5,30,-35,-15,10,30,-5,0
58778,"starry night",4,100,5,5,5,5,-10,5,5,5,5,40,-10,-5,0,0
58851,"Summer's Gulf",4,55,85,100,70,35,-30,-35,5,45,10,0,-5,0,55,15
58868,"Cotton Candy",4,90,95,85,90,80,-20,-10,20,25,40,-10,-5,-25,0,-5
59156,"5 elements water wood fire earth metal",4,85,50,60,70,5,5,5,50,-10,5,0,15,15,45,0
59587,"coffee",4,70,5,10,45,25,5,5,5,10,10,30,10,15,30,25
59603,"Cosmetics Bag",4,55,95,100,75,10,85,5,0,-5,10,15,10,5,15,10
59942,"happy",4,85,70,55,95,30,-5,-30,85,5,20,-25,-10,-15,-10,35
60020,"Dried Flowers",4,95,85,75,65,30,15,10,15,35,40,10,-5,30,50,15
60040,"Delux mix",4,35,55,85,65,20,55,30,10,55,25,30,40,35,40,15
60216,"L'artisan Parfumeur",4,65,90,80,60,30,50,20,20,25,40,50,-20,-5,25,0
60354,"Divoman",4,75,95,90,40,5,25,-15,-80,60,0,80,95,85,-95,5
60552,"Decomposition",4,35,15,85,50,80,15,5,0,20,5,30,0,10,40,20
60561,"Jazz,4,100,30,0,65,85,0,30,0,20,15,5,40,0,60,60
60564,"Nature fantasy",4,55,40,30,45,55,-5,30,15,-25,-5,-15,25,25,20,35
60651,"Lush Earth",4,20,55,30,25,20,-15,0,-5,0,0,5,50,25,20,15
60683,"Blitzkrieg",4,10,95,30,25,20,30,-5,-5,0,0,15,40,0,0,0
61201,"Soft Gray",4,60,65,60,70,70,20,15,10,5,5,15,20,20,30,25
61712,"snappy",4,65,90,35,25,10,10,5,-5,-5,0,70,90,-5,-5,-5
61906,"Tequila Sunrise",4,95,60,85,80,45,-40,-10,10,20,10,25,25,70,60,35
62281,"Scintillation",4,80,35,25,55,55,5,5,5,65,85,5,5,5,65,40
62557,"80's Hot Air Balloon",4,100,85,95,60,35,0,0,-5,50,80,5,5,90,65,-105
62826,"marsh",4,40,70,95,85,65,-5,10,0,-10,-10,-10,-50,35,45,55
62926,"Gun Smoke",4,60,95,85,45,25,10,5,0,0,5,25,20,5,0,-5
62933,"Plink!",4,25,45,60,40,50,-10,-10,70,-10,-15,-5,45,50,0,25
63232,"Blues 4",4,35,30,20,15,10,-5,0,5,10,10,-20,-20,-20,-15,-10
63260,"Straw",4,80,85,30,60,85,-20,-30,0,-15,-5,35,60,15,0,50
63487,"webfocus blue base mono",4,55,45,70,35,85,10,5,15,10,5,-40,-15,-50,-30,-25
63666,"Banana Lips",4,55,90,85,80,75,85,5,5,10,15,30,80,80,80,80
63710,"Viscount",4,35,35,100,40,20,-10,-15,0,30,45,40,-5,5,50,0
63873,"W-RKN",4,75,30,100,80,30,-25,0,0,5,50,75,10,5,40,40
63891,"Cool like a freezer",4,100,85,95,60,100,0,-55,-45,-30,0,5,20,0,0,5
64001,"david's  cool pallet",4,50,30,70,30,65,25,10,15,15,30,55,30,55,35,70
64002,"Soft And Sweet",4,90,80,90,80,55,-5,30,10,0,0,40,30,35,45,55
64495,"MidMod 03",4,55,80,50,80,20,60,-10,0,0,5,55,25,45,10,-5
64721,"pastel pasta",4,90,90,100,100,95,5,20,0,-5,-5,-10,0,5,25,15
64780,"red foilage",4,10,70,55,45,50,15,40,60,70,5,10,60,65,55,-45
64873,"Intense",4,15,60,15,60,15,35,60,25,70,30,0,45,15,25,20
65600,"Naked Fall in NY",4,60,60,50,60,50,70,45,35,50,75,30,30,5,20,40
65613,"Aurora",4,100,90,80,50,40,0,-20,-25,-20,0,5,10,5,-5,-25
66814,"the old bruise",4,80,60,70,80,20,15,15,0,0,0,10,15,0,-10,-10
66967,"Tennis Champ",4,95,90,85,100,30,-20,-40,0,0,0,5,65,0,5,0
67011,"peau de soie",4,90,80,60,20,5,10,15,10,20,15,10,25,20,10,5
67047,"Winter Andes Sunset",5,30,40,55,70,95,0,-10,-10,-5,0,-20,-10,-5,10,20
67252,"Bahamian Interlude",4,80,70,60,45,35,-35,-15,0,10,40,30,40,40,35,20
67371,"Wonderment",4,65,40,90,20,75,55,15,-5,10,-10,65,-40,40,-25,65
67406,"gHaus",4,65,70,70,65,50,-30,-10,20,0,0,-15,-35,75,70,40
67665,"Cartoon Beach",4,25,60,95,80,60,30,-10,-5,20,55,-50,-40,60,80,65
67666,"Caucasian",4,55,65,70,75,85,20,20,20,20,20,25,30,25,30,25
67679,"Lounge Dress",4,30,45,15,50,60,45,60,5,65,65,25,25,5,-35,-35
68442,"haki 1",4,35,75,80,45,75,20,10,-5,-10,0,15,45,30,-5,45
68597,"warm fall",4.5,20,40,30,60,55,20,-5,55,30,70,25,45,45,65,65
68712,"One  Day on Earth",4.25,25,45,40,55,70,5,-5,-5,-5,15,-5,0,5,30,45
68921,"DH01",4,70,30,60,15,40,-10,-5,-5,20,30,-25,-10,30,10,15
68935,"Shark Mask",4,30,65,85,60,55,0,-10,0,40,25,0,0,20,15,-20
69316,"Sky Water Palm Sand and Sun",4.5,85,100,85,90,95,10,-10,-40,-45,-45,75,55,45,15,-10
69322,"Evening Twilight",4,30,30,35,40,45,60,60,55,50,45,-45,-60,-65,-75,-75
69326,"Borneo",4,55,75,75,45,25,-30,-40,-45,-30,-15,15,30,60,40,25
69372,"Coral to Lavender Shift",4,65,60,55,50,45,45,45,50,55,60,-45,-35,-20,-10,10
69443,"Aquarius",4,85,80,70,60,40,-15,-40,-35,-5,5,-15,25,50,50,40
69659,"Super Crazy Happy Fun Time",4,80,55,90,10,55,-25,0,-70,0,85,-35,5,85,0,30
69761,"XOX",4,35,65,45,35,25,-10,25,55,30,35,-10,60,55,35,25
69895,"cimarron redesign colors",4,20,50,100,60,35,0,10,0,-20,-5,5,20,25,60,-20
70000,"India",4,45,35,35,65,80,75,55,55,40,20,10,15,-35,65,70
70077,"iPhone",4,35,100,65,100,80,-20,-10,-40,-5,5,-5,45,5,30,70
70136,"Squaxin",4,35,65,35,75,100,50,10,-20,-25,-5,40,55,15,50,30
70151,"Pinta's Aqua",4,70,95,70,85,45,-25,-30,-35,-35,-25,-5,0,0,-5,-5
70322,"Beige variants +",4,95,95,85,90,80,0,5,-5,0,10,25,30,20,35,30
70330,"cycling dirty",4,70,30,55,25,65,15,10,10,5,-5,-30,-15,10,10,10
70897,"Vintage Avenico IV",4,80,60,80,85,75,-5,-10,20,5,-5,30,0,55,55,15
70901,"Vintage Cuban Art V",4,75,65,25,40,85,35,45,-15,-15,-25,25,45,15,15,40
70907,"Vintage Cuban Art VI",4,20,65,75,100,35,-5,-10,-5,-10,5,30,50,45,45,45
70949,"WeD",4,60,100,85,70,20,10,0,0,0,15,10,-5,-15,-25,20
70964,"blues in her sight",4,90,50,20,95,60,-15,35,20,-10,-20,10,25,0,15,-5
70973,"sailing",4,30,10,50,75,20,-5,5,-25,5,20,0,-5,10,20,15
70998,"Ocean Side Light",4,45,90,100,90,75,-5,-20,-15,-35,-30,-10,0,60,65,50
71028,"balance in halve",4,95,90,15,65,10,-50,-30,-10,55,10,90,-20,-5,75,10
71182,"Man 'O Man",5,75,50,30,35,25,-15,-5,5,20,20,50,-5,5,20,10
71192,"Ivory Revolver",4,20,85,60,25,20,20,0,5,5,5,25,20,0,-5,0
71363,"sleeping with the fishes",4,60,95,85,30,15,-20,-5,-10,-10,-10,-10,0,0,-10,-5
71626,"Soapstone",4,50,95,55,60,70,15,-5,-10,15,0,55,25,15,40,15
71640,"Fine Day for Sailing",4,90,75,60,35,30,-20,-25,-35,-20,-5,45,75,0,0,-20
71655,"pretty boring",4.5,60,30,80,85,60,15,0,0,-10,-10,35,10,40,20,35
71656,"LL Bean Polo",4,50,75,40,75,25,40,15,-5,-20,15,50,70,-15,10,10
71666,"plum pumpkin foam",4,50,40,75,15,80,40,15,-20,0,0,50,0,10,-5,40
71755,"Emerald City",4,10,25,45,85,30,-5,-20,-25,-25,-30,-5,5,15,40,20
71819,"Bare Metal",4,10,25,45,75,85,5,0,5,5,5,0,5,10,25,5
71928,"cocktail lounge",4,50,85,35,70,60,25,5,-25,40,45,30,40,5,55,45
72438,"Winter Pop",4,95,90,55,45,25,5,-5,-5,70,0,-5,0,-15,40,-5
72779,"Girly-Girl",4,90,90,75,60,80,0,-35,-15,50,30,90,65,-40,-65,-25
72829,"Photo Studio",4,90,5,85,100,80,-5,10,0,0,-20,0,5,20,5,5
73037,"Sound Financial Advice",4,100,65,95,70,100,-5,-10,5,5,5,-5,-10,15,15,5
73061,"Antique Christmas",4,30,80,40,85,35,15,0,-10,0,40,40,25,20,40,40
73147,"Irish Eyes R Smilin'",4,45,55,20,95,80,-20,-30,0,-15,-20,20,30,5,25,35
73161,"Hazy Shade of Winter",4,90,80,70,65,55,0,5,0,0,0,0,-5,-10,-25,-25
73281,"Lace Lingerie",4,65,80,90,80,70,25,15,0,10,5,15,15,15,10,0
73287,"swamp",4,30,55,35,30,20,-10,-35,-15,0,-5,15,45,0,-10,-10
73296,"Happy Radio III",4,30,35,50,45,30,50,25,5,10,50,25,-5,-10,-5,15
73399,"Malta (Tower)",5,40,60,95,55,45,5,5,0,5,5,10,15,15,-20,-25
73485,"Pastel",4,85,85,100,100,90,25,10,0,-20,-30,15,20,30,35,25
73548,"Mediterranean with a Kick",4,95,35,70,90,60,5,60,-5,5,10,30,20,50,55,65
73749,"Chromafan Mute",4,25,50,70,45,20,20,20,0,-5,-5,15,35,40,20,5
74065,"plum sauce",4,90,80,65,70,15,0,-20,35,-10,15,60,15,60,60,5
74387,"Einstein's Monitor",4,75,65,50,15,30,-25,-25,-15,-5,-10,-10,-5,-5,0,0
74400,"Reggae Ann Doll",4,55,100,35,75,30,15,0,-5,30,45,30,5,15,80,30
74601,"phillippines",4,85,55,35,50,50,0,5,55,-10,-10,0,60,45,50,-25
74695,"Grandpa is Gay",4,75,85,70,80,75,25,-15,55,15,30,-40,-20,0,60,60
74708,"Old car at plaza",4,50,30,50,95,65,20,-10,0,-5,-5,55,20,25,10,25
74754,"Old D8",4,65,55,45,60,80,-20,-5,5,0,20,-5,30,15,20,80
74786,"Granpa is Batman",4.5,40,80,50,10,80,5,0,0,5,0,-35,60,0,10,0
74926,"Her First Video",4,95,90,95,60,55,-10,-20,5,80,80,-5,30,30,20,25
75038,"...and I began to cry",4,90,90,45,30,90,-5,0,5,0,5,25,25,10,20,25
75051,"lavender lush",4,85,55,45,25,10,10,20,30,30,25,-5,-15,-25,-20,-20
75135,"Rhymes with Orange",4,60,75,65,75,55,65,35,50,30,35,70,80,75,70,50
75300,"stripes",4,40,25,85,60,65,50,10,5,45,-30,45,10,90,65,65
75327,"Kitchen Colors",4,100,80,65,25,40,0,-45,-25,0,20,0,0,-20,0,35
75409,"Coffee in Denver",4,15,80,65,20,65,5,-5,50,0,15,10,25,75,-20,-55
75683,"camping trip",4,85,65,35,55,85,-20,-15,-15,-25,-40,35,30,30,45,65
75699,"pretty purples",4,45,35,25,20,15,5,5,5,5,10,5,5,0,0,0
76074,"CowBoy",4,70,20,45,75,45,0,10,-10,-5,0,30,5,10,25,-10
76106,"Kobenhavn Pop",4,100,90,65,50,25,-10,-10,-20,75,5,10,15,-5,30,0
76120,"Il Terrazzo",4,70,55,50,25,95,0,-10,70,25,0,-30,50,50,30,45
76236,"Serenity",4,20,65,95,65,25,15,15,-5,-5,5,5,5,30,35,20
76611,"joshchernoff-8-15-07_2",4,70,60,70,85,20,-30,-20,-10,5,35,-15,15,40,70,10
77172,"morning coffe",4,95,65,85,100,95,0,10,5,0,-10,30,30,20,0,-5
77452,"Well...",4,80,20,45,65,45,-45,40,30,-5,-10,45,0,20,35,-10
77513,"Lazy Insomnia",4,85,30,40,55,50,10,15,0,5,20,0,5,5,0,5
77523,"Jugoso",4,10,20,75,75,85,20,25,40,35,15,5,0,45,35,40
77652,"sinai",4,85,20,90,70,55,0,5,5,5,-20,50,15,50,35,0
77829,"modern forties",4,70,80,100,55,95,0,-10,-10,0,-5,45,-5,55,15,45
78245,"T-Shirt Mania",4,65,30,70,40,20,30,15,40,40,15,-40,15,60,-20,15
78385,"oceanside vineyard",4.5,85,20,90,70,20,-30,25,-10,-15,-5,45,15,5,0,0
78525,"Zen Forest",5,70,15,35,70,90,0,0,-25,-25,0,0,0,45,65,15
78580,"Candy Shop",4.5,90,75,95,50,60,-10,-25,0,75,-40,60,5,15,45,30
78633,"pastel and gold",4,95,85,65,80,95,5,5,5,0,5,20,20,55,45,15
78634,"Hot summer",4,65,70,25,55,15,50,-15,55,25,35,70,70,-30,65,20
78803,"Art.Nouveau.01",4,85,40,15,65,30,0,15,5,-15,-10,20,-35,-10,15,15
78876,"Peach Cobbler",5,90,75,90,80,85,-75,20,20,25,-70,80,70,10,80,75
78906,"Color Coordination",4,35,60,40,60,5,10,-5,-10,-20,0,25,20,20,10,10
79003,"Accent in turquoise",4,70,100,90,45,40,-30,5,10,15,25,-15,10,20,25,35
79606,"The Hundred Accored Woods",5,95,50,60,60,85,-10,60,65,90,-10,70,-70,70,-25,85
79738,"Clean",4,75,100,70,50,85,35,0,0,0,5,80,5,-50,-40,-25
79807,"Blackandgay",4,65,100,60,0,25,90,0,90,0,0,-50,5,-20,0,0
79819,"room-2",4,90,50,60,25,30,-30,0,0,5,15,75,15,20,0,-15
80018,"green violet",4,70,45,95,70,95,70,70,-40,-45,-35,-50,-45,65,65,55
80440,"Cape Cod",4,75,45,65,45,65,-5,30,45,10,-5,50,10,50,-15,25
80619,"End of day...",4,45,20,60,55,25,40,45,60,30,20,30,-10,55,45,-25
80818,"Turning Leaves 03",4,55,60,65,75,80,80,70,55,40,20,60,60,55,60,60
80951,"Fall Ball",4,45,55,65,40,60,70,75,65,50,-40,60,20,50,5,35
81320,"Soft Wedding Day",4,80,85,90,100,100,-15,20,25,0,0,20,-15,-10,10,5
81578,"Yambilee",4.5,95,80,65,45,100,0,30,35,35,0,50,60,70,50,5
81604,"Daytime Savannah",4,45,35,100,80,40,20,10,-5,-30,-30,-60,45,35,60,40
81946,"Orchid Season",4,85,30,95,75,30,-40,55,-20,-45,55,65,-30,45,75,-5
82048,"raspberry rouge",4.5,60,95,25,35,40,50,-5,45,55,50,0,10,10,10,5
82172,"sand + water = growth",4,65,80,100,80,65,5,-5,-5,-10,-20,-25,-15,20,30,45
82224,"Flamingo's eye",4,15,65,80,65,55,10,40,-5,40,60,5,30,45,30,45
82314,"army camo",4,55,50,40,15,5,0,-10,-25,10,0,35,35,30,15,0
